time	V(n002)	V(n004)
9.442120999680216e-001	1.303493e-002	4.994558e+000
9.478979724921914e-001	1.262851e-002	4.994554e+000
9.515838450163612e-001	1.225699e-002	4.994548e+000
9.552697175405310e-001	1.192039e-002	4.994539e+000
9.589555900647008e-001	1.161870e-002	4.994528e+000
9.609087150647008e-001	1.153745e-002	4.994488e+000
9.628618400647008e-001	1.163747e-002	4.994360e+000
9.648149650647008e-001	1.324631e-002	4.993467e+000
9.667680900647008e-001	2.091608e-002	4.989384e+000
9.670122306897008e-001	2.496742e-001	4.765626e+000
9.670123498989903e-001	6.471587e-001	4.365021e+000
9.670125883175694e-001	2.422289e+000	2.571529e+000
9.670126044648227e-001	2.567190e+000	2.424985e+000
9.670126367593293e-001	2.881075e+000	2.107984e+000
9.670127013483424e-001	3.501534e+000	1.480553e+000
9.670128305263686e-001	4.719998e+000	2.445144e-001
9.670128328678671e-001	4.740351e+000	2.235574e-001
9.670128375508642e-001	4.776495e+000	1.857151e-001
9.670128469168585e-001	4.842319e+000	1.170733e-001
9.670128536771890e-001	4.882179e+000	7.688525e-002
9.670128607102908e-001	4.913141e+000	4.851464e-002
9.670128686117061e-001	4.937955e+000	2.906810e-002
9.670128723988162e-001	4.946229e+000	2.361820e-002
9.670128769298839e-001	4.953126e+000	1.973807e-002
9.670128820636286e-001	4.958891e+000	1.676697e-002
9.670128885417176e-001	4.964150e+000	1.425000e-002
